id;CLM_FREQ; CLM_AMT_1 ; CLM_AMT_2 ; CLM_AMT_3 ; CLM_AMT_4 ; CLM_AMT_5 ; CLM_AMT_6 ; CLM_AMT_7 ;CAR_USE;CAR_TYPE;AGE;GENDER;AREA;PREMIUM
251;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;39;M;Rural;592
252;1; 320 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;49;F;Rural;893
253;1; 375 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;45;F;Urban;870
254;4; 366 ; 325 ; 513 ; 410 ; -   ; -   ; -   ;Private;SUV;36;F;Urban;930
255;1; 320 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;59;F;Urban;859
256;2; 464 ; 486 ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;60;M;Urban;948
257;3; 265 ; 608 ; 615 ; -   ; -   ; -   ; -   ;Private;SUV;49;F;Urban;695
258;1; 299 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;45;F;Urban;930
259;3; 738 ; 178 ; 388 ; -   ; -   ; -   ; -   ;Commercial;Sedan;34;M;Rural;540
260;1; 480 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;57;M;Urban;780
261;3; 352 ; 593 ; 196 ; -   ; -   ; -   ; -   ;Private;Sedan;33;M;Rural;910
262;4; 396 ; 271 ; 502 ; 328 ; -   ; -   ; -   ;Commercial;Sedan;52;M;Urban;530
263;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;53;F;Urban;852
264;1; 355 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;57;F;Urban;871
265;2; 552 ; 332 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;37;F;Urban;861
266;1; 419 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;45;M;Urban;507
267;1; 930 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;38;M;Rural;863
268;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;36;F;Urban;780
269;2; 513 ; 516 ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;51;M;Rural;706
270;2; 302 ; 375 ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;39;M;Urban;546
271;5; 415 ; 646 ; 459 ; 217 ; 303 ; -   ; -   ;Private;SUV;51;F;Rural;740
272;3; 474 ; 164 ; 1 137 ; -   ; -   ; -   ; -   ;Private;SUV;40;F;Urban;960
273;3; 892 ; 393 ; 327 ; -   ; -   ; -   ; -   ;Private;SUV;54;F;Urban;633
274;4; 1 222 ; 307 ; 274 ; 579 ; -   ; -   ; -   ;Commercial;SUV;34;F;Urban;523
275;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;41;F;Urban;770
276;3; 529 ; 382 ; 367 ; -   ; -   ; -   ; -   ;Commercial;Sedan;36;M;Urban;654
277;1; 470 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;55;M;Urban;917
278;1; 402 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;45;F;Urban;601
279;3; 551 ; 605 ; 533 ; -   ; -   ; -   ; -   ;Commercial;Pickup;45;M;Urban;530
280;1; 408 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;50;F;Urban;831
281;1; 339 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;44;M;Urban;640
282;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;55;F;Urban;956
283;2; 294 ; 346 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;44;M;Urban;635
284;1; 486 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;50;M;Urban;605
285;4; 323 ; 431 ; 397 ; 648 ; -   ; -   ; -   ;Private;Sports Car;60;M;Urban;547
286;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;40;M;Rural;906
287;5; 612 ; 529 ; 233 ; 297 ; 189 ; -   ; -   ;Commercial;Sports Car;57;F;Urban;665
288;3; 246 ; 281 ; 410 ; -   ; -   ; -   ; -   ;Private;Sedan;47;M;Urban;876
289;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;47;M;Urban;718
290;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;64;F;Urban;726
291;1; 344 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;34;M;Urban;704
292;2; 381 ; 445 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;52;F;Rural;718
293;2; 659 ; 635 ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;42;M;Urban;520
294;1; 1 236 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;41;M;Rural;544
295;2; 141 ; 318 ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;41;M;Urban;862
296;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;54;M;Urban;936
297;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;42;F;Urban;910
298;3; 658 ; 264 ; 534 ; -   ; -   ; -   ; -   ;Private;SUV;56;F;Urban;700
299;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;50;M;Urban;772
300;3; 681 ; 276 ; 371 ; -   ; -   ; -   ; -   ;Private;SUV;59;F;Urban;745
301;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;51;F;Urban;984
302;2; 381 ; 575 ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;53;M;Urban;956
303;3; 286 ; 251 ; 280 ; -   ; -   ; -   ; -   ;Commercial;SUV;35;F;Urban;796
304;1; 291 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;54;F;Urban;748
305;2; 296 ; 306 ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;50;F;Urban;657
306;2; 860 ; 599 ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;29;F;Urban;977
307;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;32;F;Urban;767
308;1; 383 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;57;F;Urban;959
309;1; 328 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;43;M;Urban;903
310;2; 264 ; 507 ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;44;F;Urban;504
311;2; 840 ; 598 ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;38;F;Urban;641
312;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;37;F;Urban;718
313;1; 803 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;55;F;Rural;910
314;4; 462 ; 277 ; 248 ; 435 ; -   ; -   ; -   ;Private;Sports Car;51;F;Rural;837
315;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;42;F;Urban;545
316;1; 330 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;45;F;Rural;675
317;2; 328 ; 482 ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;54;M;Urban;784
318;4; 688 ; 286 ; 470 ; 371 ; -   ; -   ; -   ;Private;SUV;48;F;Rural;925
319;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;54;F;Urban;928
320;3; 279 ; 250 ; 545 ; -   ; -   ; -   ; -   ;Private;SUV;48;F;Urban;504
321;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;50;M;Rural;948
322;1; 284 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;25;F;Urban;932
323;2; 540 ; 243 ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;55;M;Urban;814
324;2; 305 ; 796 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;35;F;Urban;792
325;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sports Car;29;F;Urban;515
326;2; 507 ; 301 ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;45;M;Urban;661
327;2; 564 ; 801 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;37;F;Urban;843
328;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;56;M;Urban;625
329;1; 624 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;45;F;Urban;728
330;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;51;F;Urban;528
331;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;48;F;Rural;804
332;3; 669 ; 271 ; 549 ; -   ; -   ; -   ; -   ;Commercial;Pickup;52;M;Rural;767
333;2; 512 ; 418 ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;40;M;Urban;850
334;1; 331 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;41;F;Urban;811
335;1; 456 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;44;M;Urban;640
336;2; 504 ; 855 ; -   ; -   ; -   ; -   ; -   ;Private;Van;54;M;Urban;550
337;2; 309 ; 439 ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;42;M;Urban;901
338;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;50;M;Rural;599
339;2; 249 ; 408 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;38;M;Urban;718
340;2; 462 ; 426 ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;36;F;Urban;964
341;4; 190 ; 462 ; 327 ; 263 ; -   ; -   ; -   ;Commercial;Sports Car;62;F;Urban;719
342;5; 529 ; 405 ; 284 ; 1 026 ; 587 ; -   ; -   ;Private;Sedan;47;M;Urban;504
343;1; 398 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;47;F;Urban;941
344;4; 732 ; 1 034 ; 412 ; 403 ; -   ; -   ; -   ;Private;Pickup;46;M;Urban;735
345;3; 1 442 ; 265 ; 392 ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;42;M;Urban;675
346;2; 1 031 ; 170 ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;44;F;Urban;669
347;2; 466 ; 98 ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;36;F;Urban;964
348;2; 360 ; 673 ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;33;M;Urban;606
349;2; 430 ; 403 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;35;F;Urban;773
350;3; 567 ; 610 ; 333 ; -   ; -   ; -   ; -   ;Private;Sedan;43;F;Urban;671
351;3; 609 ; 418 ; 312 ; -   ; -   ; -   ; -   ;Private;SUV;45;M;Urban;853
352;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;55;M;Urban;555
353;4; 304 ; 284 ; 205 ; 499 ; -   ; -   ; -   ;Private;Sedan;27;M;Urban;672
354;3; 572 ; 263 ; 382 ; -   ; -   ; -   ; -   ;Private;Sedan;41;F;Urban;754
355;2; 603 ; 505 ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;40;F;Urban;551
356;3; 202 ; 307 ; 507 ; -   ; -   ; -   ; -   ;Private;SUV;43;F;Urban;636
357;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;42;F;Rural;637
358;5; 333 ; 493 ; 397 ; 358 ; 646 ; -   ; -   ;Private;SUV;57;F;Rural;701
359;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;56;F;Urban;736
360;1; 453 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;64;M;Urban;872
361;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;32;F;Urban;928
362;4; 718 ; 408 ; 519 ; 861 ; -   ; -   ; -   ;Private;Sports Car;39;F;Urban;524
363;2; 541 ; 815 ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;37;F;Urban;816
364;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;45;F;Urban;986
365;2; 330 ; 452 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;39;M;Urban;939
366;2; 742 ; 513 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;32;F;Urban;552
367;1; 189 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;44;M;Urban;585
368;4; 361 ; 574 ; 364 ; 428 ; -   ; -   ; -   ;Commercial;Sports Car;39;F;Urban;997
369;1; 200 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;41;F;Rural;762
370;1; 478 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;35;M;Urban;977
371;1; 163 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sports Car;64;F;Urban;785
372;1; 896 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;46;M;Urban;591
373;1; 541 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;59;F;Urban;692
374;5; 740 ; 131 ; 269 ; 394 ; 405 ; -   ; -   ;Private;Pickup;39;M;Urban;812
375;1; 474 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;44;M;Urban;645
376;2; 183 ; 226 ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;40;F;Urban;780
377;2; 319 ; 367 ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;43;F;Urban;551
378;5; 584 ; 497 ; 748 ; 324 ; 451 ; -   ; -   ;Private;Sedan;48;F;Urban;865
379;2; 462 ; 451 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;38;F;Urban;631
380;2; 741 ; 555 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;48;M;Rural;677
381;3; 186 ; 685 ; 206 ; -   ; -   ; -   ; -   ;Private;Sports Car;60;F;Urban;784
382;1; 354 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Van;59;M;Urban;892
383;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;43;F;Urban;727
384;1; 197 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;43;F;Urban;795
385;1; 389 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;64;F;Urban;617
386;1; 497 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;55;F;Urban;638
387;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;35;F;Urban;975
388;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;54;M;Urban;619
389;5; 181 ; 299 ; 684 ; 324 ; 188 ; -   ; -   ;Private;SUV;35;F;Urban;688
390;4; 383 ; 213 ; 468 ; 399 ; -   ; -   ; -   ;Commercial;Panel Truck;46;M;Urban;768
391;2; 269 ; 214 ; -   ; -   ; -   ; -   ; -   ;Commercial;Sports Car;26;F;Urban;743
392;1; 170 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;43;M;Urban;789
393;3; 584 ; 444 ; 759 ; -   ; -   ; -   ; -   ;Private;Sports Car;43;F;Urban;944
394;2; 383 ; 237 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;54;F;Urban;772
395;1; 443 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;55;M;Urban;688
396;2; 652 ; 160 ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;45;M;Rural;916
397;1; 468 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;42;M;Urban;712
398;1; 335 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;46;M;Urban;882
399;4; 320 ; 619 ; 339 ; 253 ; -   ; -   ; -   ;Commercial;Pickup;47;M;Rural;520
400;3; 551 ; 285 ; 197 ; -   ; -   ; -   ; -   ;Private;SUV;45;F;Urban;761
401;1; 546 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;55;F;Urban;868
402;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;43;F;Rural;806
403;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;53;M;Urban;841
404;2; 350 ; 581 ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;49;F;Urban;725
405;1; 275 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;30;F;Rural;803
406;3; 460 ; 599 ; 462 ; -   ; -   ; -   ; -   ;Private;Sports Car;47;F;Urban;934
407;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;41;F;Urban;894
408;2; 491 ; 246 ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;49;M;Urban;663
409;1; 362 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;44;F;Urban;541
410;2; 377 ; 171 ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;31;F;Rural;942
411;2; 370 ; 501 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;51;F;Urban;630
412;1; 225 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;50;M;Urban;1000
413;2; 484 ; 327 ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;58;M;Urban;964
414;3; 264 ; 418 ; 535 ; -   ; -   ; -   ; -   ;Private;Sedan;56;M;Urban;733
415;5; 638 ; 679 ; 368 ; 638 ; 423 ; -   ; -   ;Private;Sedan;41;F;Urban;652
416;3; 573 ; 768 ; 336 ; -   ; -   ; -   ; -   ;Commercial;Sedan;37;M;Urban;587
417;4; 296 ; 475 ; 439 ; 397 ; -   ; -   ; -   ;Commercial;Pickup;57;F;Rural;928
418;1; 479 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;37;F;Urban;899
419;2; 442 ; 234 ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;34;F;Urban;899
420;2; 327 ; 476 ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;49;M;Urban;605
421;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;42;F;Urban;985
422;2; 268 ; 418 ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;38;M;Rural;630
423;1; 784 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;55;M;Urban;964
424;2; 319 ; 284 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;37;F;Urban;671
425;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;25;M;Urban;932
426;1; 198 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;44;M;Urban;534
427;1; 515 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;20;F;Urban;783
428;3; 301 ; 265 ; 824 ; -   ; -   ; -   ; -   ;Private;Sports Car;40;F;Urban;709
429;2; 681 ; 420 ; -   ; -   ; -   ; -   ; -   ;Private;Van;32;M;Urban;607
430;1; 580 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;35;F;Urban;602
431;4; 392 ; 948 ; 537 ; 277 ; -   ; -   ; -   ;Commercial;Van;37;M;Urban;534
432;3; 668 ; 243 ; 712 ; -   ; -   ; -   ; -   ;Commercial;Pickup;58;M;Urban;921
433;1; 422 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Van;40;M;Rural;748
434;2; 845 ; 598 ; -   ; -   ; -   ; -   ; -   ;Commercial;Sports Car;54;F;Urban;607
435;3; 595 ; 422 ; 280 ; -   ; -   ; -   ; -   ;Commercial;Sedan;39;M;Urban;779
436;4; 518 ; 491 ; 208 ; 478 ; -   ; -   ; -   ;Commercial;Pickup;49;M;Urban;558
437;3; 485 ; 350 ; 333 ; -   ; -   ; -   ; -   ;Commercial;SUV;48;F;Rural;665
438;4; 251 ; 307 ; 492 ; 343 ; -   ; -   ; -   ;Commercial;Pickup;42;M;Urban;560
439;1; 529 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;37;F;Urban;960
440;3; 840 ; 285 ; 402 ; -   ; -   ; -   ; -   ;Private;SUV;56;F;Rural;874
441;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;48;M;Urban;790
442;1; 465 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;21;F;Urban;998
443;3; 577 ; 357 ; 535 ; -   ; -   ; -   ; -   ;Private;Sedan;33;M;Urban;659
444;1; 273 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;38;F;Urban;745
445;6; 409 ; 666 ; 348 ; 350 ; 281 ; 204 ; -   ;Private;Pickup;33;M;Rural;781
446;1; 165 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;51;M;Urban;802
447;1; 264 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;45;M;Urban;848
448;2; 472 ; 281 ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;40;F;Urban;820
449;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;58;M;Urban;686
450;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;50;M;Urban;688
451;2; 545 ; 1 112 ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;39;M;Urban;793
452;3; 257 ; 215 ; 273 ; -   ; -   ; -   ; -   ;Private;Van;50;M;Urban;526
453;3; 607 ; 738 ; 517 ; -   ; -   ; -   ; -   ;Private;SUV;39;F;Urban;813
454;4; 442 ; 244 ; 337 ; 402 ; -   ; -   ; -   ;Private;SUV;19;F;Rural;670
455;3; 380 ; 295 ; 1 085 ; -   ; -   ; -   ; -   ;Commercial;Sedan;49;M;Rural;838
456;1; 839 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;33;F;Rural;777
457;5; 818 ; 568 ; 211 ; 245 ; 1 073 ; -   ; -   ;Commercial;Panel Truck;43;M;Urban;540
458;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;48;M;Urban;504
459;1; 398 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;45;M;Urban;625
460;1; 545 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;39;M;Rural;635
461;4; 339 ; 492 ; 285 ; 351 ; -   ; -   ; -   ;Commercial;Pickup;32;M;Rural;917
462;1; 273 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;45;M;Urban;782
463;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;46;F;Urban;876
464;3; 307 ; 810 ; 360 ; -   ; -   ; -   ; -   ;Private;Sedan;53;F;Urban;809
465;2; 363 ; 317 ; -   ; -   ; -   ; -   ; -   ;Commercial;Sports Car;63;F;Urban;835
466;1; 231 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;51;F;Urban;745
467;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;36;F;Rural;553
468;3; 594 ; 538 ; 541 ; -   ; -   ; -   ; -   ;Private;Sports Car;72;F;Urban;667
469;1; 605 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Van;51;M;Urban;574
470;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;39;F;Urban;809
471;5; 260 ; 403 ; 391 ; 559 ; 615 ; -   ; -   ;Private;SUV;34;F;Rural;914
472;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Van;53;M;Urban;821
473;1; 422 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;45;M;Urban;924
474;3; 365 ; 396 ; 433 ; -   ; -   ; -   ; -   ;Commercial;Pickup;36;F;Urban;699
475;5; 314 ; 529 ; 341 ; 330 ; 383 ; -   ; -   ;Private;Sports Car;36;F;Rural;880
476;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;32;M;Urban;844
477;4; 430 ; 413 ; 305 ; 443 ; -   ; -   ; -   ;Commercial;Panel Truck;43;M;Urban;621
478;1; 279 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;54;F;Urban;585
479;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;57;M;Urban;611
480;1; 747 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;47;F;Urban;953
481;3; 403 ; 597 ; 661 ; -   ; -   ; -   ; -   ;Commercial;Pickup;36;F;Urban;650
482;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;43;F;Urban;658
483;3; 425 ; 461 ; 420 ; -   ; -   ; -   ; -   ;Private;Sports Car;46;F;Urban;595
484;3; 206 ; 424 ; 288 ; -   ; -   ; -   ; -   ;Private;SUV;41;F;Rural;745
485;1; 316 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;55;M;Rural;565
486;2; 438 ; 439 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;63;F;Urban;733
487;1; 875 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;45;F;Urban;923
488;6; 671 ; 348 ; 460 ; 330 ; 328 ; 736 ; -   ;Commercial;Van;35;M;Urban;755
489;2; 299 ; 199 ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;60;F;Urban;903
490;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;51;F;Urban;554
491;2; 531 ; 411 ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;43;F;Urban;595
492;1; 361 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;39;M;Rural;545
493;2; 608 ; 472 ; -   ; -   ; -   ; -   ; -   ;Commercial;Sports Car;33;F;Urban;764
494;1; 486 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;37;F;Rural;606
495;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sports Car;39;F;Urban;969
496;4; 610 ; 254 ; 386 ; 270 ; -   ; -   ; -   ;Commercial;Panel Truck;43;M;Urban;907
497;2; 481 ; 829 ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;48;M;Urban;802
498;3; 194 ; 578 ; 394 ; -   ; -   ; -   ; -   ;Private;SUV;45;M;Rural;986
499;5; 689 ; 654 ; 602 ; 425 ; 133 ; -   ; -   ;Private;SUV;56;F;Urban;763
